,rates,start_at,base,end_at
2014-10-09,{'USD': 0.07504954100000001},2013-08-31,MXN,2018-09-01
2014-10-10,{'USD': 0.0742708376},2013-08-31,MXN,2018-09-01
2014-10-13,{'USD': 0.0744435376},2013-08-31,MXN,2018-09-01
2014-10-14,{'USD': 0.0744215061},2013-08-31,MXN,2018-09-01
2014-10-15,{'USD': 0.0742664822},2013-08-31,MXN,2018-09-01
2014-10-16,{'USD': 0.0733755396},2013-08-31,MXN,2018-09-01
2014-10-17,{'USD': 0.0740631642},2013-08-31,MXN,2018-09-01
2014-10-20,{'USD': 0.07395634300000001},2013-08-31,MXN,2018-09-01
2014-10-21,{'USD': 0.0740465678},2013-08-31,MXN,2018-09-01
2014-10-22,{'USD': 0.0738811313},2013-08-31,MXN,2018-09-01
2014-10-23,{'USD': 0.0740465823},2013-08-31,MXN,2018-09-01
2014-10-24,{'USD': 0.0738538908},2013-08-31,MXN,2018-09-01
2014-10-27,{'USD': 0.0736594434},2013-08-31,MXN,2018-09-01
2014-10-28,{'USD': 0.074065897},2013-08-31,MXN,2018-09-01
2014-10-29,{'USD': 0.0743384421},2013-08-31,MXN,2018-09-01
2014-10-30,{'USD': 0.07433895680000001},2013-08-31,MXN,2018-09-01
2014-10-31,{'USD': 0.0742334525},2013-08-31,MXN,2018-09-01
2014-11-03,{'USD': 0.0740795645},2013-08-31,MXN,2018-09-01
2014-11-04,{'USD': 0.0732626895},2013-08-31,MXN,2018-09-01
2014-11-05,{'USD': 0.0734835192},2013-08-31,MXN,2018-09-01
2014-11-06,{'USD': 0.0736619097},2013-08-31,MXN,2018-09-01
2014-11-07,{'USD': 0.0733556682},2013-08-31,MXN,2018-09-01
2014-11-10,{'USD': 0.0739096463},2013-08-31,MXN,2018-09-01
2014-11-11,{'USD': 0.073523929},2013-08-31,MXN,2018-09-01
2014-11-12,{'USD': 0.0734753295},2013-08-31,MXN,2018-09-01
2014-11-13,{'USD': 0.0735983172},2013-08-31,MXN,2018-09-01
2014-11-14,{'USD': 0.0733942788},2013-08-31,MXN,2018-09-01
2014-11-17,{'USD': 0.073705755},2013-08-31,MXN,2018-09-01
2014-11-18,{'USD': 0.0737545014},2013-08-31,MXN,2018-09-01
2014-11-19,{'USD': 0.0736105891},2013-08-31,MXN,2018-09-01
2014-11-20,{'USD': 0.07350630770000001},2013-08-31,MXN,2018-09-01
2014-11-21,{'USD': 0.0734564506},2013-08-31,MXN,2018-09-01
2014-11-24,{'USD': 0.0734115364},2013-08-31,MXN,2018-09-01
2014-11-25,{'USD': 0.07321370690000001},2013-08-31,MXN,2018-09-01
2014-11-26,{'USD': 0.0730994152},2013-08-31,MXN,2018-09-01
2014-11-27,{'USD': 0.0728691042},2013-08-31,MXN,2018-09-01
2014-11-28,{'USD': 0.0722776462},2013-08-31,MXN,2018-09-01
2014-12-01,{'USD': 0.0718790352},2013-08-31,MXN,2018-09-01
2014-12-02,{'USD': 0.07133178700000001},2013-08-31,MXN,2018-09-01
2014-12-03,{'USD': 0.0710229236},2013-08-31,MXN,2018-09-01
2014-12-04,{'USD': 0.070857531},2013-08-31,MXN,2018-09-01
2014-12-05,{'USD': 0.0706440368},2013-08-31,MXN,2018-09-01
2014-12-08,{'USD': 0.06951698790000001},2013-08-31,MXN,2018-09-01
2014-12-09,{'USD': 0.06945364700000001},2013-08-31,MXN,2018-09-01
2014-12-10,{'USD': 0.06940702700000001},2013-08-31,MXN,2018-09-01
2014-12-11,{'USD': 0.0688444132},2013-08-31,MXN,2018-09-01
2014-12-12,{'USD': 0.0672540366},2013-08-31,MXN,2018-09-01
2014-12-15,{'USD': 0.0676694186},2013-08-31,MXN,2018-09-01
2014-12-16,{'USD': 0.067624642},2013-08-31,MXN,2018-09-01
2014-12-17,{'USD': 0.067837991},2013-08-31,MXN,2018-09-01
2014-12-18,{'USD': 0.0689703571},2013-08-31,MXN,2018-09-01
2014-12-19,{'USD': 0.0688327195},2013-08-31,MXN,2018-09-01
