,rates,start_at,base,end_at
2016-08-01,{'MXN': 18.748298101},2013-08-31,USD,2018-09-01
2016-08-02,{'MXN': 18.8555347092},2013-08-31,USD,2018-09-01
2016-08-03,{'MXN': 18.9104464286},2013-08-31,USD,2018-09-01
2016-08-04,{'MXN': 18.8302801724},2013-08-31,USD,2018-09-01
2016-08-05,{'MXN': 18.8492291144},2013-08-31,USD,2018-09-01
2016-08-08,{'MXN': 18.6202759989},2013-08-31,USD,2018-09-01
2016-08-09,{'MXN': 18.506499368100002},2013-08-31,USD,2018-09-01
2016-08-10,{'MXN': 18.3223354793},2013-08-31,USD,2018-09-01
2016-08-11,{'MXN': 18.4279566036},2013-08-31,USD,2018-09-01
2016-08-12,{'MXN': 18.2721813945},2013-08-31,USD,2018-09-01
2016-08-15,{'MXN': 18.1372093023},2013-08-31,USD,2018-09-01
2016-08-16,{'MXN': 17.9535192563},2013-08-31,USD,2018-09-01
2016-08-17,{'MXN': 18.1516495211},2013-08-31,USD,2018-09-01
2016-08-18,{'MXN': 18.1556399611},2013-08-31,USD,2018-09-01
2016-08-19,{'MXN': 18.3244746601},2013-08-31,USD,2018-09-01
2016-08-22,{'MXN': 18.3001061383},2013-08-31,USD,2018-09-01
2016-08-23,{'MXN': 18.2421730311},2013-08-31,USD,2018-09-01
2016-08-24,{'MXN': 18.5432197373},2013-08-31,USD,2018-09-01
2016-08-25,{'MXN': 18.4574844996},2013-08-31,USD,2018-09-01
2016-08-26,{'MXN': 18.352258636},2013-08-31,USD,2018-09-01
2016-08-29,{'MXN': 18.5893464637},2013-08-31,USD,2018-09-01
2016-08-30,{'MXN': 18.5836318052},2013-08-31,USD,2018-09-01
2016-08-31,{'MXN': 18.8127919511},2013-08-31,USD,2018-09-01
2016-09-01,{'MXN': 18.8004665351},2013-08-31,USD,2018-09-01
2016-09-02,{'MXN': 18.7746806039},2013-08-31,USD,2018-09-01
2016-09-05,{'MXN': 18.5090534242},2013-08-31,USD,2018-09-01
2016-09-06,{'MXN': 18.5233443857},2013-08-31,USD,2018-09-01
2016-09-07,{'MXN': 18.352140251},2013-08-31,USD,2018-09-01
2016-09-08,{'MXN': 18.3379072238},2013-08-31,USD,2018-09-01
2016-09-09,{'MXN': 18.802715655},2013-08-31,USD,2018-09-01
2016-09-12,{'MXN': 19.0980758952},2013-08-31,USD,2018-09-01
2016-09-13,{'MXN': 19.0095136481},2013-08-31,USD,2018-09-01
2016-09-14,{'MXN': 19.1481547513},2013-08-31,USD,2018-09-01
2016-09-15,{'MXN': 19.232095255},2013-08-31,USD,2018-09-01
2016-09-16,{'MXN': 19.3893639765},2013-08-31,USD,2018-09-01
2016-09-19,{'MXN': 19.6011643529},2013-08-31,USD,2018-09-01
2016-09-20,{'MXN': 19.6396638054},2013-08-31,USD,2018-09-01
2016-09-21,{'MXN': 19.7367713004},2013-08-31,USD,2018-09-01
2016-09-22,{'MXN': 19.621818829},2013-08-31,USD,2018-09-01
2016-09-23,{'MXN': 19.6260032103},2013-08-31,USD,2018-09-01
2016-09-26,{'MXN': 19.8542887587},2013-08-31,USD,2018-09-01
2016-09-27,{'MXN': 19.5409982175},2013-08-31,USD,2018-09-01
2016-09-28,{'MXN': 19.4367037862},2013-08-31,USD,2018-09-01
2016-09-29,{'MXN': 19.4238481419},2013-08-31,USD,2018-09-01
2016-09-30,{'MXN': 19.4775557746},2013-08-31,USD,2018-09-01
2016-10-03,{'MXN': 19.2372730509},2013-08-31,USD,2018-09-01
2016-10-04,{'MXN': 19.3379625482},2013-08-31,USD,2018-09-01
2016-10-05,{'MXN': 19.2782981001},2013-08-31,USD,2018-09-01
2016-10-06,{'MXN': 19.2847563701},2013-08-31,USD,2018-09-01
2016-10-07,{'MXN': 19.3538599641},2013-08-31,USD,2018-09-01
2016-10-10,{'MXN': 18.9415770609},2013-08-31,USD,2018-09-01
2016-10-11,{'MXN': 18.8724614135},2013-08-31,USD,2018-09-01
2016-10-12,{'MXN': 18.9259528131},2013-08-31,USD,2018-09-01
2016-10-13,{'MXN': 18.9827867367},2013-08-31,USD,2018-09-01
2016-10-14,{'MXN': 18.9463733867},2013-08-31,USD,2018-09-01
2016-10-17,{'MXN': 18.9375113698},2013-08-31,USD,2018-09-01
2016-10-18,{'MXN': 18.7130901483},2013-08-31,USD,2018-09-01
2016-10-19,{'MXN': 18.6583477548},2013-08-31,USD,2018-09-01
2016-10-20,{'MXN': 18.5619307832},2013-08-31,USD,2018-09-01
2016-10-21,{'MXN': 18.6546941025},2013-08-31,USD,2018-09-01
2016-10-24,{'MXN': 18.5715728583},2013-08-31,USD,2018-09-01
2016-10-25,{'MXN': 18.4900662252},2013-08-31,USD,2018-09-01
2016-10-26,{'MXN': 18.6240732265},2013-08-31,USD,2018-09-01
2016-10-27,{'MXN': 18.7252676855},2013-08-31,USD,2018-09-01
2016-10-28,{'MXN': 18.8221021791},2013-08-31,USD,2018-09-01
2016-10-31,{'MXN': 18.9247213594},2013-08-31,USD,2018-09-01
2016-11-01,{'MXN': 18.8825396825},2013-08-31,USD,2018-09-01
2016-11-02,{'MXN': 19.373591708},2013-08-31,USD,2018-09-01
2016-11-03,{'MXN': 19.2901301518},2013-08-31,USD,2018-09-01
